Component Group,Element,Purpose,Current Shared Component or Source,Current State,Should Be Standardized,Notes
Forms,Field help text,Explanatory helper copy,"custom text / FormInput hint",Mixed,Yes,"One size/color/spacing rule"
Forms,Field error text,Validation message,"Alert or inline error box",Mixed,Yes,"One inline form error pattern"
Forms,Disabled field state,Non-interactive fields,"various",Mixed,Yes,"Needs global visual rule"
Forms,Readonly field state,Read-only fields,"various",Mixed,Yes,"Needs global visual rule"
Lists & Tables,Compact table,Reference-data listing,"settings categories/vendors",Custom but repeated,Yes,"3-5 columns with right-side actions"
Lists & Tables,Operational table,High-density business listing,"clients/properties/tasks/billing",Mixed,Yes,"Needs filter/search/header consistency"
Lists & Tables,Card/list row,Non-table row display,"related-list / dashboard rows / details related items",Mixed,Yes,"Useful when tables are too wide"
Lists & Tables,Table header row,Column header styling,"custom per page",Mixed,Yes,"Needs token rules"
Lists & Tables,Row action area,Edit/Disable/View buttons on rows,"custom per page",Mixed,Yes,"Needs spacing/button rules"
Lists & Tables,Search/filter bar,List control area,"custom per page",Mixed,Yes,"One standard composition"
Feedback,Alert message,Success/error/warning information,"components/ui/Alert or custom boxes",Mixed,Yes,"Should use shared Alert"
Feedback,Toast,Transient feedback,"components/ui/toast",Shared but limited,Yes,"Need final usage decision"
Feedback,Empty state,No-data / no-results screen,"components/ui/EmptyState or inline text",Mixed,Yes,"Should standardize"
Feedback,Modal/dialog,Confirmation and popups,"components/ui/Modal + alert-dialog + native confirm",Mixed,Yes,"Need one confirmation strategy"
Typography,Section title,Card/section subheading,"CardTitle / .section-title / custom h2/h3",Mixed,Yes,"One semantic hierarchy"
Typography,Body text,Standard paragraph text,"page-specific",Mixed,Yes,"Should be token-driven"
Typography,Muted text,Secondary explanatory text,"text-muted-foreground / .page-subtitle / inline opacity",Mixed,Yes,"One path"
Reports/PDF,PDF visual header,Invoice/contract document chrome,"billing/subscription pdf routes",Custom,Yes,"Separate print system but same brand tokens"
Theme Control,Theme tokens,Global colors/radius/surfaces,"assets/css/tokens.css + app/globals.css",Duplicated,Yes,"Must converge before control panel"
Theme Control,Appearance control panel,Future admin UI to change visuals globally,Not built yet,Planned,Yes,"Should edit tokens/components, not page layout"

